                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 0.5555,                0.37029,                0.91262,                0.99758,                      1,                  0.995,                0.88673,                  0.498,                0.32913,                0.81432,              0.0013136,              0.0013136,              0.0013136
                     54,                0.56865,                0.39152,                0.91617,                0.99773,                      1,                  0.995,                0.85437,                 0.6681,                0.39914,                0.83101,              0.0013004,              0.0013004,              0.0013004
                     55,                0.56682,                0.37649,                0.90452,                0.99744,                      1,                  0.995,                0.84983,                0.45266,                0.34386,                 0.8034,              0.0012872,              0.0012872,              0.0012872
                     56,                0.54833,                0.36605,                0.90351,                0.99764,                      1,                  0.995,                0.85526,                 0.5703,                0.32157,                0.80933,               0.001274,               0.001274,               0.001274
                     57,                0.54067,                0.37859,                0.90671,                0.99757,                      1,                  0.995,                0.84349,                0.59896,                0.32594,                0.82697,              0.0012608,              0.0012608,              0.0012608
                     58,                 0.5668,                  0.376,                0.91039,                0.99763,                      1,                  0.995,                0.84387,                0.51285,                0.37519,                0.81681,              0.0012476,              0.0012476,              0.0012476
                     59,                0.54667,                 0.3597,                0.90626,                0.99752,                      1,                  0.995,                0.86271,                0.53586,                0.31728,                0.81375,              0.0012344,              0.0012344,              0.0012344
                     60,                0.52519,                0.35602,                0.90132,                0.99664,                      1,                  0.995,                 0.8849,                0.56031,                0.30408,                0.81203,              0.0012212,              0.0012212,              0.0012212
                     61,                0.52997,                0.34749,                0.90204,                0.99391,                      1,                  0.995,                0.84501,                0.46949,                0.29779,                0.81066,               0.001208,               0.001208,               0.001208
                     62,                0.51708,                0.35031,                0.89521,                0.99716,                      1,                  0.995,                0.86751,                0.49952,                0.31807,                0.80748,              0.0011948,              0.0011948,              0.0011948
                     63,                 0.5346,                0.35154,                0.90679,                0.99662,                      1,                  0.995,                0.83394,                0.48112,                0.32373,                0.80705,              0.0011816,              0.0011816,              0.0011816
                     64,                0.53764,                0.34886,                0.89846,                0.99758,                      1,                  0.995,                0.87087,                0.44385,                0.28372,                0.80713,              0.0011684,              0.0011684,              0.0011684
                     65,                0.54205,                0.36316,                0.90975,                0.99741,                      1,                  0.995,                0.84358,                0.55511,                0.30131,                0.81312,              0.0011552,              0.0011552,              0.0011552
                     66,                0.53766,                0.35821,                  0.918,                0.99683,                      1,                  0.995,                0.86117,                0.54214,                0.31309,                0.80927,               0.001142,               0.001142,               0.001142
                     67,                0.52634,                0.34506,                0.90044,                0.99769,                      1,                  0.995,                0.87603,                0.58823,                0.33137,                0.81678,              0.0011288,              0.0011288,              0.0011288
                     68,                0.50962,                0.33031,                0.90796,                0.99743,                      1,                  0.995,                0.87859,                 0.6236,                0.32058,                0.82177,              0.0011156,              0.0011156,              0.0011156
